Submission Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Desired Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,"Does Your Hack Need To Stay At Your Current Table? (I.E. Hardware, Vr/Ar Hacks That Are Difficult To Move.) If So, What Table Number Are You At?"
"Lecturely - Your boring lectures, organized and made fun!",https://bitcamp2022.devpost.com/submissions/320548-lecturely-your-boring-lectures-organized-and-made-fun,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 19:42:41,"Inspiration

Most college students have skipped a class at one point or another, and it sometimes becomes difficult to keep caught up on recorded lectures. We decided to make a tool that helps

What it does

Users can add their courses, and within each course, add URLs to the lecture files. Lecture.ly splits up these videos into smaller chunks, which makes it easier to digest and not get bored.

How we built it

We used JavaScript, HTML, CSS, and Chrome Dev Tools to be able to develop the app for Chrome browser. We collaborated using Git and Discord. We first created a simple mock up design in Figma. Then we implemented a very low fidelity version with HTML/CSS. Then we added functionality that allows navigation, accessing recordings, tagging videos, and add new classes. Then using the chrome notification API we could send alerts to the users across multiple devices with chrome installed (mobile or desktop). These alerts will enable them to skip to certain time stamps and gain points for watching the lecture segment. These points are the reward systems that allow you to feed your virtual pet and take care of him/her. Losing your streak means your pet would be sad or much worse.

Challenges we ran into

This was our first time working with the Chrome libraries, so it was difficult to get used to. Not all of us had Javascript experience, so we had to learn some syntax throughout the project.

Accomplishments that we're proud of

We were able to implement the algorithm to parse the video page and determine which class the lecture was from. 

What we learned

We learned a lot about how the libraries behind Chrome work, and some specifics about HTML and JS.

What's next for Lecturely - Your boring lectures, organized and made fun!
","",,"Best Gamification Hack - Bitcamp, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp ","javascript, html5, css, chrome",,"University of Maryland - College Park, University of Marykland",3,no
Comprefinsive,https://bitcamp2022.devpost.com/submissions/320556-comprefinsive,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 20:05:40,"Inspiration

For properly diversified investors, checking on your investments means checking Robinhood, Fidelity, TD Ameritrade, Coinbase, and your crypto wallets. You shouldn't have to open six different apps just to know how much money you lost last week.

Well, those days are over.

Comprefinsive is the one-stop-shop to track and manage all of your investments, housed in one beautiful UI. Just make an account and link your brokerages, and you can come back anytime to see how your portfolio is doing.

What it does

Comprefinsive integrates with your Robinhood, Coinbase, and crypto wallets, making it the easiest way to manage your stocks, tokens, and NFTS. Want to see how much Ethereum you own across Coinbase and your three different browser wallets? Comprefinsive makes it easy. Want to track your net worth without maintaining an Excel spreadsheet? Comprefinsive got your back.

Comprefinsive also aggregates your transaction history across platforms. If you own ETH on Robinhood and Coinbase, Comprefinsive offers a simple and intuitive view of all your deposits and withdrawals.

How we built it

We used CockroachDB and a Flask server as our backend. We had integrate several APIs to fetch account data from platforms like Coinbase and Solana. The frontend was made in Next.js. We used Airbnb's visx library to aid in creating the data visualizations.

Challenges we ran into

Making user-friendly and interactive visualizations was much harder than anticipated. Some of the APIs we used were either outdated or inconsistent. Lastly, we had to think about backend API design to minimize load times when fetching large amounts of user data.

Accomplishments that we're proud of

We worked really well as a team and effectively split up frontend/backend responsibilities. Additionally, we're happy to have shipped a functional app that we'd be glad to use for ourselves. 

What we learned

We learned about CockroachDB and principles of UI design, as well as some lessons about what features to prioritize when working on a large project. 

What's next for Comprefinsive

We'd love to flesh out the app with more integrations across different investing platforms and crypto chains. Additionally, it'd be cool to have a recommendation engine that shows the user new stocks/tokens that other users with similar portfolio compositions have invested in. 
",https://github.com/AkashBhave/comprefinsive,https://www.youtube.com/watch?v=eYxzvfiLgbs,"Best Use of Data in an Application - Two Six Technologies, Best UI/UX - Bitcamp , Best Use of CockroachDB Serverless - Cockroach Labs","cockroachdb, flask, next.js, coinbase, robinhood, solana",,University of Maryland - College Park,1,No
Take 6!,https://bitcamp2022.devpost.com/submissions/320563-take-6,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 20:24:08,"Inspiration

We were inspired by an obscure game we found in the Cool Board Games club at STAMP one day. It turned out to be really fun, so for our first hackathon together, we decided to do something unique and re-create the very enjoyable card game as a computer game.

What it does

The Take 6! computer game has a 4 x 6 board with a deck of 104 cards. The deck is shuffled and both players get a ten-card hand that they can each respectively see, but they cannot see the other player's hand. At the start of the game, the board has one card in each of the four rows faced up.
Each round begins with both players selecting a card of their choosing from their hand and placing it faced down. 

Once both players have done this, the cards are flipped over and the card with the lowest number goes first, automatically being placed into the row with the ""smallest possible difference between the current last card and the new one,"" as stated by the rules of the game. Additionally, ""the number of the card that is added to a row must be higher than the number of the current last card in that row,"" so our code automatically ensures that this is the case as well. 

When a row hits 6 cards, the player who placed the 6th card must take all the cards in the row, earning a number of points based on the number of cow heads on each card in the row. Just like golf, in this game, more points is a bad thing. If a player plays a card whose number is lower than the last card of each of the four rows, the player has a choice in which row to place the card, after which they must take all the cards in the row. This allows the player to chose a row that would net them the least amount of points.

After 10 rounds have been played and neither player has any card left, the game is over. The winner is the player with the least amount of points.

How we built it

We built the game in Java by creating various classes to represent each object in the game. For example, we had a Card class to represent the different types of unique cards for this game and we had a Player class to represent each player's number, hand, and number of points. We used JFrame to make the GUI. 

Challenges we ran into

A major challenge we ran into is that due to us being freshmen and only having taken intro-level computer science classes, we did not know much about GUIs and so we had to learn how to code them on the spot during the hackathon. We also had to create images for each of the 104 cards and learn how to import images to use in the GUI. 

Accomplishments that we're proud of

We are proud of having re-created such a complex and unique card game for our first hackathon together.

What we learned

We learned how to use GUIs in Java and how to create a complex computer game based on a card game without any reference to an existing computer version of the card game.

What's next for Take 6!

We're really excited about expanding the maximum number of players to 10 from the 2 we have now to allow even more people to take part in the fun! We also plan on adding animations to the game to make the game more smooth and more visually pleasing.
",https://github.com/adithyako/take6,,"Best Gamification Hack - Bitcamp, Best DIY Hack - Bitcamp, Best First Time Hack - Bitcamp","java, eclipse",,University of Maryland - College Park,3,No
Idiots Invest,https://bitcamp2022.devpost.com/submissions/320564-idiots-invest,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 20:25:33,"About the project

Fun, Fast, Free, with Friends.

Inspiration

Inspired by a recent video in which a goldfish outperformed all of the r/WallStreetBets subreddit, we wondered if the collective knowledge of a group of friends could do any better.

What it does

Groups can create and join community portfolios where the group as a whole can decide their financial future together. Each period, the group is presented with a choice of two stocks or cryptocurrencies. During this period, each member of the group can vote on which asset they would like to buy. At the conclusion of the period, the asset with more votes is purchased with all of the funds in the portfolio. This is repeated with two new random assets each period, and the performance of the portfolio is tracked for every trade.

How we built it

We used Python and Django to create the backend that manages the portfolios and interfaces with the Alpaca API. Additionally, we created the frontend using JavaScript and React with the Mantine component library.

Challenges we ran into

Our main challenges occurred during deployment. Nginx gave us continual trouble when trying to deploy the backend Django project. Additionally, when we transitioned our frontend to AWS Amplify, it required that all requests go through HTTPS, but our backend was hosted on AWS EC2 and did not have SSL. To overcome this, we had to disable the security privileges of our web browser.

Accomplishments that we're proud of

We have integration with a real Alpaca paper trading portfolio, which means that we can track the real performance of a group. This allows the users to see the true performance of their combined intellect in real time! Additionally, our polished frontend gives our users a professional experience and allows them to see the performance of the group’s combined intellect with every trade. This interfaces nicely with the REST API we developed on the backend.

What's next for Idiots Invest

Future development will add a text chat feature so that members of a community can share their ideas about the current vote and the portfolio’s overall performance. We want to emphasize scalability and customizability, adding features such as allowing communities to tweak the trading frequency of their portfolio, new power ups, seasonal events, and more events to bring the community together.
",https://main.d1n9n61r6k36i0.amplifyapp.com,,"Best Razzle Dazzle Hack - Bitcamp, Best Gamification Hack - Bitcamp, Best UI/UX - Bitcamp ","python, django, javascript, react, mantine, rest, nginx",,University of Maryland - College Park,1,""
FemPOWER(me)nt,https://bitcamp2022.devpost.com/submissions/320569-fempower-me-nt,Submitted (Hidden),Pending,Submit,04/09/2022 20:37:38,"Inspiration

I aimed to address gender inequity. 

What it does

This website provides information regarding women issues. It brings attention to organizations who are fighting for feminism, tries to reduce period stigma, provides STEM opportunities and has a list of women role models. Ultimately, FemPOWER(me)nt tries to inspire and empower women.

How we built it

This was built through a combination of HTML and CSS. 

Challenges we ran into

I had some issues aligning text and images; flexbox was being problematic. Thankfully, after reading Stack Overflow and W3schools, I was able to solve the problem.

What we learned

I learnt more about women's issues, specifically about period poverty. In the technical aspect, I learnt how to effectively create a navigation bar and a dropdown bar. 

What's next for FemPOWER(me)nt

I intend to add to the opportunities spreadsheet and make another webpage about women role models in general. I hope to add a sports section as well and just expand topics in general. 
",https://fempowerment.zoec27.repl.co/index.html,https://youtu.be/Otm_shHlsZs,"","html, css, javascript",,St. Robert Catholic High School,0,""
Venerable_Videos,https://bitcamp2022.devpost.com/submissions/320584-venerable_videos,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 21:02:11,"Inspiration

I always fear that something on the internet may one day be deleted or removed, never to be seen again. To combat that, I always try to archive whenever I can. This project came about from a need to easily and automatically record information about the things I'm archiving, especially videos.

A great example of this is the fact that I have long lost the original files for my old videos on YouTube. My program is a great way to quickly and easily have them somewhere on my computer and organized so that I do not have to worry if I may lose my account or YouTube goes down.

What it does

It takes any YouTube link, along with a connection string to one's personal CockroachDB database, and scans the webpage for links to videos, storing the videos' link, name, creator, and more. It then stores that data in a CockroachDB relational database for easy access later. It also provides a basic means of searching the database for matching video names and creator names.

How I built it

I used python 3 with urllib, argparse, re, and psycopg2 libraries to create the main codebase. In lieu of string methods, I used regular expressions to parse the webpage html files to grab the desired data as it was faster and more concise in my code (no other libraries or web applications were used). I used CockroachDB to store the data, as well as their client to check the database. I coded everything using emacs on Ubuntu.

Challenges I ran into

I did not know python, regular expressions, or CockroachDB SQL prior to beginning this project, so the main challenge would definitely have been learning these on the fly to accomplish my goals! In not being familiar with any of these, debugging any issues I had were definitely a struggle. For example, I didn't realize my regex for one method was wrong for half an hour because it wasn't immediately apparent that it was wrong in the first place, let alone why it was wrong!

I also came to learn that web crawling is not very easy, and without an external package, scraping a JavaScript reactive website is quite difficult. Unfortunately, I was not able to make my program capable of scraping more links than what is by default displayed on a page—it cannot click on load more or scroll down to load more.

Accomplishments that I'm proud of

Just as with above, I'm definitely proud to be able to say I'm able to use python, regex, and CockroachDB now. It also performs the tasks better than I would have expected I could make it!

I am definitely proud of the fact that I successfully made a program that can get information from a website and turn it into database entries! Especially considering the only external package is psycopg2 for connecting to CockroachDB.

What I learned

I learned Python syntax and how to use Python. Like its sets and tuples and ""WITH"". The lack of strong typing really messes with me!
I also learned how to interface with CockroachDB through their CLI, as well as through psycopg2, which made using Python to modify databases in CockroachDB very easy.
Finally, I learned quite a bit about regular expressions and how to use them. They're littered throughout my project in order to find the strings of data I was looking for.

What's next for Venerable_Videos

I want to be able to provide support for all sorts of websites and services that may include videos on their webpages, such as vimeo or dailymotion. I made as much of my code flexible for this purpose as possible. I would also like to provide more command options to make the program more versatile, as well as using Selenium to allow the loading of more videos, creating a server and front-end to archive videos remotely, and creating an easier method of querying the database.
Most importantly, I want to be able to link my program to youtube-dl or a similar program that will be able to download, store, and archive the videos whose information is saved by my program. That way, the mirror column of the database will be able to point towards a copy (local or on a server) of every video (for personal use, like saving one's own videos, of course!). It is for this purpose that I wrote some code to be able to expand this functionality in the future and hence why there is a mirror column that is null.

Best First Time Hack

I probably used Python, SQL, and regex about once each in the past. Bringing them together in a project such as this took a lot of learning, trial, and error. I spent about 18 hours total on this project, and I can't say I have much to show for it other than all that I've learned. But for my first hackathon and first true foray into all three of these, I can't say I did horribly either!

Best Open Source Hack

youtube-dl is an open-source program used to download and archive all sorts of videos on the internet. My program happens to fit very well with the idea of downloading, archiving, storing, and organizing things like a wide variety of videos from anywhere on the internet (for personal use, like saving one's own videos, of course!). All it requires is a quick explicit implementation.

Best Use of CockroachDB Serverless

This project uses CockroachDB serverless to host and store all database information relating to the videos examined by my program. My program's flexibility and freedom to expand is perfect for CockroachDB's architecture which will gladly accommodate its expansion!
",https://github.com/Cephi-sui/Venerable-Videos,https://youtu.be/Wl-TaEvjrZw,"Best Open Source Hack - Bitcamp, Best First Time Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","python, regex, cockroachdb, sql, linux",,University of Maryland - College Park,0,""
Seeing Green,https://bitcamp2022.devpost.com/submissions/320603-seeing-green,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 21:48:33,"Inspiration

Going into BitCamp, Christopher was excited to build his first application and upon seeing the Best Educational Hack category he felt incredibly overjoyed at the chance to educate others on the principles of Sustainability. Christopher has spent multiple semesters in Sustainability focused courses for his minor, so being able to share his knowledge incredibly fortuitous. The team was going into BitCamp in order to help Christopher make his first mobile application and allow Samantha to impart knowledge onto him before graduating college. The team wanted to make the application a fun and interesting game like the ""choose your own adventure"" stories we grew up reading.

What it does

The application evaluates users on their daily choices as well as basic Sustainability principles in order to view their habits through the lens of Environmental Studies. Each user starts the quiz at 100 points. While progressing through a set list of questions with multiple choice responses, Seeing Green will add or deduct points based on how Environmentally Friendly the user's daily practices are. The application keeps a list of the choices made by the user in order to provide reasoning and explanations of various topics in Sustainability related to the choices made at the conclusion of the quiz. Additionally, the application tracks the user's score for each individual test they take to keep a personal leaderboard across multiple tests taken by the user.

How we built it

The team started by deciding to use the Ionic platform because of Samantha’s previous experience with it and the knowledge that this could allow our application to be built for Android, iOS, and most web browsers, from one source code. The team then used Ionic to build an Angular application through the Ionic CLI's predefined ionic start command. From there, the team modified the pre-made app.component.ts and app.component.html files in order to display the different screens required to carry out our application. Samantha created and modified the index.ts and user.service.ts files to establish Observables and other useful interfaces. The team was able to use standard ionic UI components found at https://ionicframework.com to build the application and corresponding Angular functions and variables. The team was able to make and view incremental changes to the code by running ionic serve and observing the localhost:8100 on Google Chrome browsers.

Challenges we ran into

One challenge the team faced was having to simplify the broad and detail-oriented nature of Sustainability into a few basic questions for the user to understand and respond to in a reasonable amount of time. Additionally, the team knew that most people have a basic understanding of Sustainability so the questions could also not be too simple in order to prevent users from giving what they know to be the “Best” choice as opposed to the honest one. Making an application that felt like a ""choose your own adventure"" story was also difficult as the team had to determine how to ensure specific answers to questions could correctly bring up different follow up questions (such as selecting that one ate meat that day would bring up a question about what type of meat, that a vegetarian would not receive) while eventually returning to a similar line of questioning.

Accomplishments that we're proud of

Christopher is especially proud of being able to find an intersection of his educational passions, Computer Science and Sustainability. Christopher was proud of Seeing Green both because of its potential to educate others and because it was his first ever mobile application. The team was also incredibly proud of making the game feel like a ""choose your adventure story"" the team enjoyed as children. Finally, being able to effectively communicate and work together despite being siblings made the team immensely proud, especially Samantha who was excited to be able to pass down some of her knowledge to Christopher at his first ever Hackathon.

What we learned

Samantha was able to get an introduction to the vast world of Sustainability and Christopher was able to learn how to create a mobile application through the use of Angular and Ionic, this weekend.

What's next for Seeing Green

The next steps the team plans to implement are the ability to share your results with others and the ability to track other users’s scores on the leaderboard so you can compare/compete with your friends. The team also wants to create a larger pool of questions that users would get a random selection of daily and be able to create more questions that directly lead to others for more of the ""choose your adventure"" feeling.
",https://github.com/CTang0522/BitCamp2022,https://youtu.be/7xR49xbmDAE,"Best Gamification Hack - Bitcamp, Best Educational Hack - Bloomberg, Best First Time Hack - Bitcamp","ionic, angular.js, html, typescript",,University of Maryland - College Park,1,No
Bytdle on Scratch,https://bitcamp2022.devpost.com/submissions/320610-bytdle-on-scratch,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 22:02:16,"Inspiration

Wordle is fun. Bitcamp is fun. Scratch?

What it does

Wordle spiced with aromas near you at Bytecamp 2022!

How we built it

Scratch with a side of scavenger hunting.

Challenges we ran into

We could not find a letter for Z, but then a fellow camper pulled thru and handed us a wet bag of Utz®. 

Accomplishments that we're proud of

Wordle letter designs for


pepsi (P)
maryland flag (T)
ionq (Q)


What we learned

J's are hard to come by and building full-stack applications from Scratch.

What's next for Bytdle on Scratch

Better words.
Bitcamp 2023
",https://scratch.mit.edu/projects/673971817/,,"Best Razzle Dazzle Hack - Bitcamp, Best Gamification Hack - Bitcamp, Best First Time Hack - Bitcamp","scratch, bitcamp",,University of Maryland - College Park,3,""
Assistive Robot Arm,https://bitcamp2022.devpost.com/submissions/320614-assistive-robot-arm,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 22:10:44,"Inspiration

The inspiration was that it is a cool idea to make a robot . It was decided to create a robotic arm just 3 hours before arriving at Bitcamp.

What it does

This is a robotic arm with 4 degrees of freedom (4 drive-able joints). So basically it has 4 motors and can move in four different ways and each motor is controlled with two buttons to move forwards and backwards.

How we built it

The ENTIRE thing was designed, prototyped, manufactured, programmed, and troubleshot Friday-Saturday at Bitcamp. It was designed and simulated in Fusion 360, then 3D printed on cite at Bitcamp. Three of the motors are stepper motors and the last is a micro servo. It is all controlled with two arduino unos and thus coded in C. 

Challenges we ran into

1) Original source of power (iphone 5V wall charger) did not work for some reason/ Solution: We got a 7.4v battery to power the motors.
2) Not enough pins on an arduino to run 3 stepper motors and a servo/ Solution: We used two arduinos to control the arm.
3) (happened 4 times) The 3D printer used to make parts was not working/ Solution: We turned it off and on again
4) For each motor, the buttons only moved the motors in one direction/ Solution: Each stepper motor has four poles, a positive and negative. If you apply a current across a pole, the motor will move one step (a fraction of a rotation). Now each pole has to fire in a very specific order so it has continuous smooth rotation. We had the firing order for the poles wrong so it would mess up kind of randomly.
TLDR: The motors works in a very specific way and we didn't have the code written correctly for the motors. Solution/ We fixed the code so the motors do work.

Accomplishments that we're proud of

1) A robotic arm designed, produced, programmed and troubleshot at bitcamp in the <2 days.
2) Successfully coding the stepper motors using stepper motor drivers
3) Applying for the Best Hardware Hack, Best First timer hack, and  Best ""Bitcamp"" Hack 

What we learned

1) How to design and 3D print with a tight time constraint
2) How to control stepper motors with an arduino

What's next for Assistive Robot Arm

Surgical Robot Arm
","https://github.com/KhaiTTNguyen/robot_arm, https://www.thingiverse.com/thing:5347777",https://youtu.be/3_QfHKhsKLI,"Best Hardware Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp","c, autodesk-fusion-360, cura, pronterface, arduino",,"Temple University, University of Maryland - University College, Earlham College",3,No
ScubRun,https://bitcamp2022.devpost.com/submissions/320620-scubrun,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 22:21:16,"Inspiration

Living near SCUB II, it was always a mystery where the other SCUBs were. Over the course of several months the others were slowly discovered, and then the idea of travelling between them as fast as possible, the ScubRun was born.

What it does

Times your ScubRun, checking your location to verify.

How we built it

Built on React Native and uses GPS for location services.

Challenges we ran into

GPS isn't super accurate. Also, React is weird.

Accomplishments that we're proud of

The UI works!

What we learned

How to use React1

What's next for ScubRun

SCUB NFTs?
",https://gitlab.com/drp19/scubrun,,"Best Razzle Dazzle Hack - Bitcamp, Best Gamification Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp",react-native,,University of Maryland - College Park,0,""
Untitled,"",Draft,Pending,Manage team,04/09/2022 22:27:19,"","",,"","",,"",0,""
ByteSwipe,https://bitcamp2022.devpost.com/submissions/320634-byteswipe,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 22:51:21,"Inspiration

One of the leading causes of fights in relationships is over food. Why is such a wonderful thing such as food causing fights? We believe it is because couples are not always the best at communicating their desires and finding common ground. This is why we build ByteSwipe.

What it does

ByteSwipe presents each user with a set of restaurants fitting their basic desires and allows them to decline or accept them. If both users accept a restaurant, it is labeled as a match. Once enough matches are made, the users are presented with the matches to give their final opinions. In the end, the users are presented with the set of agreed-upon restaurants to decide from.

How we built it

We built this web app using basic HTML, CSS, and JS with some additional libraries such as Bootstrap, JQuery, and Flickity. We collect data using the Yelp API to populate the site. The web app is currently hosted on GitHub pages, an easy-to-use tool to host your GitHub repository web app.

Challenges we ran into

DOES NOT RUN WITHOUT DISABLING WEB SECURITY ON BROWSER

We ran into numerous problems, primarily revolving around the Yelp API which has many permission issues due to potential security issues. We have resulted in doing some more roundabout methods to use the API. (Also, restaurant is obnoxious to spell)

Accomplishments that we're proud of

We are proud to have a working website containing multiple pages, a pleasing front-end, and a built-out backend.

What we learned

We learned a lot regarding websites interaction with APIs, design fundamentals, and website structure.

What's next for ByteSwipe

There are many potential ways to expand ByteSwipe. A log-in system or cookies can be used to store user data which can allow default settings and a new filter of whether to include places the user has already been to. By collecting user data, ByteSwipe could also implement an algorithm to customize the restaurants shown to you. The website can also be made more user-friendly to include a 'how-to' page or tutorial for new users. If users also find that deciding between the final selection difficult, ByteSwipe could also implement a final elimination algorithm to narrow the choice down to 1.
","https://kylehassold.github.io/, https://github.com/KyleHassold/KyleHassold.github.io",,"Best Gamification Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best First Time Hack - Bitcamp","html, css, javascript, bootstrap, jquery, yelp",,University of Maryland - College Park,3,""
Test-Test-Delete this Plz,https://bitcamp2022.devpost.com/submissions/320647-test-test-delete-this-plz,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 23:06:31,"Inspiration

Listening song with friends in car

What it does

How we built it

???

Challenges we ran into

coding
??

Accomplishments that we're proud of

?
hardware, 
learn new languages

What we learned

???

What's next for Caraoke

individual App
1: to connect with Bluetooth, 
2: adjust  the size of the letters


adjust the brightness of the screen

","",,"Best Hardware Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp","python, c",,University of Maryland - University College,0,yes
Bytelands - An NFT Collection,https://bitcamp2022.devpost.com/submissions/320652-bytelands-an-nft-collection,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 23:19:18,"Inspiration We were inspired by the 8th year anniversary of Bitcamp and we wanted to make commemorative non-fungible tokens that we could give away for free! We created Bytelands which are original artworks of island campsites. We hope you enjoy looking at our Bytelands!

What it does

Bytelands are a fun collectible that is made to be accessible for all! Anyone can feel the sense of art ownership by minting their own Byteland! These artworks are a randomly generated edition of 500 that are stored on the Interplanetary File System. Users interact with the webapp using a React frontend which communicates with the blockchain network via Solidity.

How we built it

We first created the smart contract backend for minting and transferring NFTs using solidity. We also used node.js to manage the backend web server. We then created original art layers and used an art generation algorithm to create thousands of permutations of artworks.  These original artworks and information are stored on a decentralized database via interplanetary filesystem. We then created a React web app for the user to interact with the smart contract to mint and display their own NFTs. This web app interacts with crypto wallets like meta mask to mint new NFTs on a blockchain.

Challenges we ran into

Styling the web app and having the front end cooperate with the backend took us a bit of troubleshooting.
We spent a lot of time thinking of and drawing new art layers to create the Bytelands.
We did not have much experience working with a web 3 decentralized web stack so we had to learn a lot for this project. 

Accomplishments that we're proud of

We are proud of making a fully decentralized full stack webapp with original artwork. 
The webapp does a great job of minting and displaying the user's NFT collection.
The user interface works directly with a crypto wallet like metamask to mint new NFTs.

What we learned

We broadened our knowledge on front end development in React, realized the potential of smart contracts, and learned about web3. Learning to draw modular NFT artworks was also very fun and satisfying.

What's next for Bytelands - An NFT Collection

We plan on making our NFTs even more accessible by expanding our collection with new artworks. We could also see a future where we create Bytelands that are dynamic. The Byteland could be interactive or grow over time. It's all about learning more about the power of the smart contract and thinking of new ways for users to have fun with their byteland.
",https://github.com/ktang124/Bytelands,,"Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp","react, html5, css3, javascript, node.js, solidity, ipfs, adobe-illustrator, alchemyapi",,"University of Maryland - College Park, University of Maryland - University College",2,""
Lip Synth,https://bitcamp2022.devpost.com/submissions/320658-lip-synth,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 23:33:55,"Check out our website!

and make sure to turn on your volume!

Inspiration

We wanted to make something silly and interactive. Brainstorming ways that a user can interact with a product, we settled on visual input. Getting a chance to work with some new libraries and stepping out of our comfort zone sounded like fun so we spit-balled until we landed on the concept for Lip Synth.

What it does

Lip Synth performs facial tracking to determine how wide your mouth is. Based on how wide open it is, it will play a note on the selected instrument to match! Lip Synth comes with several options to change your scale, instrument and sensitivity! You can also log into Spotify and search a song, and Lip Synth will show you how to play it with your mouth (its not the easiest to master though).

How we built it

We started by using a package called face-api.js that allowed us to use facial tracking with the user's webcam. Once we had access to the face measurements, we hooked up Tone.js with some samples and created several systems to load/change instrument samples, change musical keys, and determine notes based on the shape of the user's mouth.





Next, we wrote a simple algorithm to anticipate how big a user's mouth should be to play a given note and draw a corresponding ellipse to fit their mouth in the webcam display. With this implemented, we made our final addition and connected to the Spotify API to get access to songs and song data so we could see the notes being played in the song. One or two final edits and now you can learn to play your favorite songs on Lip Synth.



Challenges we ran into

We ran into a series of roadblocks along our journey. The first and foremost was the long hours. After coding for twelve hours in a row, it became easy to make silly mistakes in our code (JavaScript was in no mood to help us find them either). Thankfully, we had each other to perform what I like to call ""the stupid idiot check,"" where one person looks over the other's shoulder and says ""you never actually called your function.""
On a more technical front, packages can be frustrating, especially when they aren't all compatible with package managers. Trying to collect packages and place them in the right places with out dated documentation led us down several rabbit holes but we managed to find our way out. Asynchronous behavior gave us some issue as well but nothing a few short term hacks couldn't fix. Also Spotify OAuth was not happy this weekend.

Accomplishments that we're proud of

Everything. No regrets.

Especially making people look like clowns to unaware passerby :).

What we learned

Technology-wise, some of us were new to node.js and none of us were familiar with any of the libraries. We always learn a little from using new libraries. We also learned about how synthesizers and samplers work for music, which was quite different from our normal topics.

@[Sponsor] CoStar: Thanks for sponsoring and the panel, but...

What's next for Lip Synth

We would love to further refine the way in which Lip Synth processes your oral input. Currently it can be tricky to sustain a single note with your mouth naturally moving; in the future we would improve the analysis of the tracked movement to better interpret user detection. We would also like to finish setting up Spotify auto-play so that you can hear the song you are learning as you Lip Synth along! Lastly, we would love to implement multi-user functionality- the framework is there, it just needs to be put in order.

And most importantly, we would like to thank the one and only @[Organizer] Zach (he/him) for his great honor and valor during this event.
","https://www.lipsynch.com, https://github.com/rschwa6308/Bitcamp2022",,Best Razzle Dazzle Hack - Bitcamp,"html5, javascript, node.js, face-api.js, tone.js, spotify-web-api-js, heroku",,University of Maryland - College Park,2,""
Marshie's Adventure,https://bitcamp2022.devpost.com/submissions/320659-marshie-s-adventure,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 23:34:10,"Your friends have been captured by the Evil Burnt Mellows! To save them, you must play Marshie's Adventure! Travel through the land of Bitcamp, defeat foes, and save your friends. This game is designed with the Bitcamp esthetic in mind, using Bitcamp-based characters, backgrounds, and storyline! As you go through the game, you stroll past the 7 Keys to a Successful Hackathon, helping beginners and first-timers with getting a start on a project.

Inspiration

At every hackathon, there are first-time attendees. This is especially the case with Bitcamp 2022 being UMD's first in-person hackathon since 2019 due to covid. Our project aims to tackle this problem by providing an interactive way for first-time and beginner attendees to learn about how to go about a Hackathon. The gameplay also engages more experienced attendees.

What it does

We designed a scrolling platformer. As a user, you pick between 3 main characters and play through a game where you have to fight off monsters and ultimately a boss. There are checkpoints along the way, a functional map displaying your progress, and an options menu in case you want to stop or pause the gameplay.

How we built it

The entirety of the project was coded with Python. The game was designed based on the Python Arcade library, which is an OOP-based library. Alongside the game, Tiled was used for level design. The characters, background, game mechanics, and storyline are all based on the mascots and icons for this year's Bitcamp.

Challenges we ran into

None of us have expertise in graphic design. Since we wanted to have the game made entirely out of Bitcamp images and materials, we had to rely on graphic design skills.

Accomplishments that we're proud of

We are proud of taking individual aspects of Bitcamp imagery and combining them into a fully functional and enjoyable game.

What we learned

Most of our team members had little to no game design experience going into this project. Furthermore, none of us were experienced with the Python Arcade library. This project provides valuable experience for both game design and the Python Arcade library.

What's next for Marshie's Adventure

Adventures Awaits ;)
",https://github.com/trigaten/MarshieMash,,"Best Razzle Dazzle Hack - Bitcamp, Best DIY Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp","python, python-arcade",,"University of Maryland - Baltimore County, University of Maryland - College Park",3,""
